"","X","X.3","X.2","X.1","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"1",1,1,1,1,19851025,"Kevin Willis","Atlanta Hawks",1,0,"22:00",0,3,0,76,107,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"2",2,2,2,2,19851025,"Cliff Robinson","Washington Bullets",1,0,"36:00",0,1,0,103,90,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"3",3,3,3,3,19851025,"Jon Koncak","Atlanta Hawks",0,0,"6:00",0,4,0,122,112,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"4",4,4,4,4,19851025,"Perry Moss","Washington Bullets",0,0,"20:00",0,2,0,128,97,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"5",5,5,5,5,19851025,"Manute Bol","Washington Bullets",0,0,"3:00",0,2,0,0,101,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"6",6,6,6,6,19851025,"Tom McMillen","Washington Bullets",0,0,"3:00",0,1,0,102,104,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"7",7,7,7,7,19851025,"Dan Roundfield","Washington Bullets",0,0,"26:00",0,4,0,47,96,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"8",8,8,8,8,19851025,"Scott Hastings","Atlanta Hawks",0,0,"23:00",0,0,0,72,101,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"9",9,9,9,9,19851025,"Spud Webb","Atlanta Hawks",1,0,"29:00",0,4,0,126,107,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"10",10,10,10,10,19851025,"Lorenzo Charles","Atlanta Hawks",0,0,"10:00",0,0,0,138,111,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"11",11,11,11,11,19851025,"Ray Williams","Atlanta Hawks",0,0,"9:00",0,1,0,200,102,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"12",12,12,12,12,19851025,"Tree Rollins","Atlanta Hawks",1,0,"34:00",0,2,0,99,102,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"13",13,13,13,13,19851025,"Cliff Levingston","Atlanta Hawks",1,0,"31:00",0,4,0,90,103,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"14",14,14,14,14,19851025,"Jeff Malone","Washington Bullets",1,0,"30:00",0,2,0,102,104,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"15",15,15,15,15,19851025,"Darren Daye","Washington Bullets",0,0,"11:00",0,2,0,121,89,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"16",16,16,16,16,19851025,"Charles Jones","Washington Bullets",1,0,"25:00",0,2,0,101,91,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
"17",17,17,17,17,19851025,"Gus Williams","Washington Bullets",1,0,"30:00",2,0,0,134,101,"Atlanta Hawks","Washington Bullets","Washington Bullets",NA,NA,NA
