"","X","X.1","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"1",1,1,19861031,"Terry Catledge","Washington Bullets",1,0,"30:00",0,4,0,92,123,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"2",2,2,19861031,"Sam Vincent","Boston Celtics",1,0,"28:00",0,2,0,108,105,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"3",3,3,19861031,"Dennis Johnson","Boston Celtics",1,0,"44:00",1,2,0,116,104,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"4",4,4,19861031,"Rick Carlisle","Boston Celtics",0,0,"7:00",0,2,0,0,98,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"5",5,5,19861031,"Frank Johnson","Washington Bullets",1,0,"26:00",0,4,0,116,122,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"6",6,6,19861031,"Jeff Malone","Washington Bullets",0,0,"26:00",0,1,0,134,128,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"7",7,7,19861031,"Larry Bird","Boston Celtics",1,0,"40:00",3,3,0,136,105,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"8",8,8,19861031,"Charles Jones","Washington Bullets",0,0,"6:00",0,0,0,52,132,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"9",9,9,19861031,"Kevin McHale","Boston Celtics",1,0,"37:00",0,5,0,152,103,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"10",10,10,19861031,"Darwin Cook","Washington Bullets",0,0,"25:00",1,3,0,79,129,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"11",11,11,19861031,"Dan Roundfield","Washington Bullets",0,0,"23:00",0,3,0,103,121,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"12",12,12,19861031,"Moses Malone","Washington Bullets",1,0,"39:00",0,1,0,130,124,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"13",13,13,19861031,"Jerry Sichting","Boston Celtics",0,0,"20:00",0,4,0,164,104,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"14",14,14,19861031,"Greg Kite","Boston Celtics",0,0,"8:00",0,1,0,72,100,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"15",15,15,19861031,"John Williams","Washington Bullets",1,0,"29:00",0,4,0,92,123,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"16",16,16,19861031,"Fred Roberts","Boston Celtics",0,0,"13:00",0,2,0,101,101,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"17",17,17,19861031,"Anthony Jones","Washington Bullets",1,0,"19:00",0,4,0,76,121,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
"18",18,18,19861031,"Jay Murphy","Washington Bullets",0,0,"3:00",0,0,0,0,119,"Boston Celtics","Washington Bullets","Boston Celtics",NA,NA,NA
