"","Date","Name","Team","Started","B2B","MP","FGA","X3PA","PF","USG.","ORtg","DRtg","Home","Away","Winner","TORtg","TDRtg"
"1",20051101,"Kenny Thomas","Sacramento Kings",0,0,"18:51",0,1,0,74,99,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"2",20051101,"Brandon Bass","New Orleans/Oklahoma City Hornets",0,0,"4:26",0,1,0,71,73,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"3",20051101,"Peja Stojakovic","Sacramento Kings",1,0,"33:55",7,0,0,108,101,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"4",20051101,"Bostjan Nachbar","New Orleans/Oklahoma City Hornets",1,0,"21:13",2,2,0,93,73,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"5",20051101,"Arvydas Macijauskas","New Orleans/Oklahoma City Hornets",0,0,"3:39",0,0,0,250,81,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"6",20051101,"Rasual Butler","New Orleans/Oklahoma City Hornets",0,0,"19:28",2,4,0,26,70,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"7",20051101,"Chris Paul","New Orleans/Oklahoma City Hornets",1,0,"33:32",3,0,0,105,65,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"8",20051101,"Ronnie Price","Sacramento Kings",0,0,"2:28",0,1,0,0,106,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"9",20051101,"Desmond Mason","New Orleans/Oklahoma City Hornets",0,0,"16:04",0,1,0,35,71,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"10",20051101,"Brian Skinner","Sacramento Kings",0,0,"17:00",0,4,0,69,97,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"11",20051101,"Bonzi Wells","Sacramento Kings",1,0,"27:51",0,4,0,47,98,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"12",20051101,"David West","New Orleans/Oklahoma City Hornets",1,0,"27:29",0,4,0,65,63,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"13",20051101,"Corliss Williamson","Sacramento Kings",0,0,"5:43",0,2,0,28,106,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"14",20051101,"Jason Hart","Sacramento Kings",0,0,"17:54",0,1,0,27,100,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"15",20051101,"Speedy Claxton","New Orleans/Oklahoma City Hornets",0,0,"20:53",1,2,0,122,72,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"16",20051101,"J.R. Smith","New Orleans/Oklahoma City Hornets",1,0,"29:11",3,3,0,117,72,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"17",20051101,"P.J. Brown","New Orleans/Oklahoma City Hornets",1,0,"31:29",0,2,0,136,74,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"18",20051101,"Kevin Martin","Sacramento Kings",0,0,"20:09",1,3,0,34,92,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"19",20051101,"Shareef Abdur-Rahim","Sacramento Kings",1,0,"30:40",0,2,0,114,98,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"20",20051101,"Mike Bibby","Sacramento Kings",1,0,"27:38",2,3,0,72,100,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"21",20051101,"Brad Miller","Sacramento Kings",1,0,"25:17",1,4,0,52,97,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"22",20051101,"Jackson Vroman","New Orleans/Oklahoma City Hornets",0,0,"11:15",0,0,0,142,78,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
"23",20051101,"Chris Andersen","New Orleans/Oklahoma City Hornets",0,0,"21:21",0,2,0,38,72,"New Orleans/Oklahoma City Hornets","Sacramento Kings","New Orleans/Oklahoma City Hornets",NA,NA,NA
