"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Terry Catledge","PF",80,220,2,24,70,40,"1610",585,2,172,0,0,0,0,24,5,0,"45",11,1,9,0,0,0,0,"106.5","107.2"
"Frank Johnson","PG",73,185,6,29,75,17,"1258",498,9,120,0,0,0,0,29,5,0,"44",22,2,4,0,0,0,0,"106.5","107.2"
"Jeff Malone","SG",76,205,4,26,80,80,"2655",1360,24,198,0,0,0,0,26,5,5,"199",97,1,16,0,0,0,0,"106.5","107.2"
"Charles Jones","PF",81,215,4,30,69,49,"1313",177,1,226,0,0,0,0,30,5,1,"95",5,0,18,0,0,0,0,"106.5","107.2"
"Bernard King","SF",79,205,9,31,69,38,"2044",938,6,202,0,0,0,0,31,5,4,"168",53,0,17,0,0,0,0,"106.5","107.2"
"Darrell Walker","SG",76,180,4,26,52,0,"940",291,6,105,0,0,0,0,26,5,0,"155",54,1,18,0,0,0,0,"106.5","107.2"
"Moses Malone","C",82,215,13,32,79,78,"2692",1090,7,160,0,0,0,0,32,5,5,"198",65,1,9,0,0,0,0,"106.5","107.2"
"Mark Alarie","PF",80,217,1,24,63,0,"769",300,18,107,0,0,0,0,24,1,0,"4",2,2,0,0,0,0,0,"106.5","107.2"
"John Williams","SF",80,235,1,21,82,37,"2428",910,38,217,0,0,0,0,21,5,5,"185",48,1,18,0,0,0,0,"106.5","107.2"
"Muggsy Bogues","PG",63,136,0,23,79,14,"1628",426,16,138,0,0,0,0,23,1,0,"2",0,0,0,0,0,0,0,"106.5","107.2"
"Steve Colter","PG",75,165,3,25,56,53,"1361",401,10,112,0,0,0,0,25,5,5,"86",31,0,9,0,0,0,0,"106.5","107.2"
"Jay Murphy","PF",81,220,3,25,9,0,"46",23,0,5,0,0,0,0,"106.5","107.2"
"Manute Bol","C",91,200,2,25,77,4,"1136",165,1,160,0,0,0,0,25,5,0,"44",7,0,5,0,0,0,0,"106.5","107.2"
"Ennis Whatley","PG",75,177,4,25,5,0,"24",9,0,3,0,0,0,0,"111.3","107.6"
"Kevin Willis","PF",84,220,3,25,75,55,"2091",687,2,240,0,0,0,0,25,12,12,"462",138,1,51,0,0,0,0,"111.3","107.6"
"Jon Koncak","C",84,250,2,24,49,22,"1073",203,2,161,0,0,0,0,"111.3","107.6"
"John Battle","SG",74,175,2,25,67,1,"1227",613,41,84,0,0,0,0,25,12,0,"166",67,2,14,0,0,0,0,"111.3","107.6"
"Dominique Wilkins","SF",79,200,5,28,78,76,"2948",1957,129,162,0,0,0,0,28,12,12,"473",300,18,24,0,0,0,0,"111.3","107.6"
"Chris Washburn","C",83,225,1,22,29,0,"174",49,0,19,0,0,0,0,22,1,0,"2",0,0,0,0,0,0,0,"111.3","107.6"
"Scott Hastings","PF",82,235,5,27,55,0,"403",82,12,67,0,0,0,0,27,11,0,"103",14,1,21,0,0,0,0,"111.3","107.6"
"Spud Webb","PG",66,133,2,24,82,1,"1347",402,19,125,0,0,0,0,24,12,0,"211",81,8,22,0,0,0,0,"111.3","107.6"
"Randy Wittman","SG",78,210,4,28,82,82,"2412",787,0,117,0,0,0,0,28,12,12,"344",122,0,24,0,0,0,0,"111.3","107.6"
"Antoine Carr","PF",81,225,3,26,80,2,"1483",517,4,272,0,0,0,0,26,12,0,"210",68,1,47,0,0,0,0,"111.3","107.6"
"Leon Wood","PG",75,185,3,25,14,0,"79",30,19,6,0,0,0,0,25,4,0,"4",1,1,0,0,0,0,0,"111.3","107.6"
"Mike McGee","SG",77,190,6,28,11,0,"117",52,19,6,0,0,0,0,"111.3","107.6"
"Tree Rollins","C",85,235,10,32,76,59,"1765",260,0,229,0,0,0,0,32,12,12,"333",36,0,46,0,0,0,0,"111.3","107.6"
"Doc Rivers","PG",76,185,4,26,80,80,"2502",890,33,272,0,0,0,0,26,12,12,"409",139,22,40,0,0,0,0,"111.3","107.6"
"Cliff Levingston","PF",80,210,5,27,82,32,"2135",564,2,287,0,0,0,0,27,12,0,"163",50,0,25,0,0,0,0,"111.3","107.6"
"Jay Humphries","PG",75,185,3,25,18,0,"252",54,2,23,0,0,0,0,25,2,0,"18",5,0,6,0,0,0,0,"108.2","107.6"
"Randy Breuer","C",87,230,4,27,81,73,"2258",788,0,198,0,0,0,0,27,4,0,"47",16,0,7,0,0,0,0,"108.2","107.6"
"Paul Pressey","SG",77,185,5,29,75,75,"2484",702,39,233,0,0,0,0,29,5,5,"178",50,3,21,0,0,0,0,"108.2","107.6"
"Pace Mannion","SF",79,190,4,27,35,1,"477",118,12,53,0,0,0,0,"108.2","107.6"
"Jerry Reynolds","SF",80,200,2,25,62,21,"1161",419,7,97,0,0,0,0,25,3,0,"12",6,0,1,0,0,0,0,"108.2","107.6"
"Craig Hodges","SG",74,190,5,27,43,0,"983",345,118,80,0,0,0,0,"108.2","107.6"
"Charles Davis","SF",79,215,5,29,5,0,"39",18,2,4,0,0,0,0,"108.2","107.6"
"Terry Cummings","PF",81,220,5,26,76,76,"2629",1392,3,274,0,0,0,0,26,5,5,"193",89,0,16,0,0,0,0,"108.2","107.6"
"Conner Henry","SG",79,195,1,24,14,2,"145",41,6,11,0,0,0,0,"108.2","107.6"
"John Lucas","PG",75,175,11,34,81,22,"1766",631,151,102,0,0,0,0,34,5,0,"80",27,13,5,0,0,0,0,"108.2","107.6"
"Jack Sikma","C",83,230,10,32,82,82,"2923",1058,14,316,0,0,0,0,32,5,5,"190",76,3,23,0,0,0,0,"108.2","107.6"
"Andre Moore","SF",81,215,0,23,3,0,"16",3,0,2,0,0,0,0,"108.2","107.6"
"Dave Hoppen","C",83,235,0,23,3,0,"35",11,0,3,0,0,0,0,"108.2","107.6"
"Larry Krystkowiak","PF",81,220,1,23,50,7,"1050",266,3,137,0,0,0,0,23,5,5,"163",29,0,17,0,0,0,0,"108.2","107.6"
