"Name","Team","Position","Height","Weight","Exp","Age","G","GS","MP","FGA","3PA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","PFGA","P3PA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Kevin Willis","SAS","C",84,220,17,40,71,6,840,257,2,120,12.5,19.5,0.2,1.3,18,0,"91",40,1,16,18.7,24.8,0.1,0.1,105.6,99.7
"Anthony Goldwire","SAS","PG",73,182,4,31,10,0,51,18,8,5,2.5,19.0,-0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.6,99.7
"Danny Ferry","SAS","SF",82,230,12,36,64,1,601,124,60,55,5.1,12.1,-0.2,0.6,16,1,"101",28,14,20,2.7,14.9,-0.2,0.2,105.6,99.7
"Tony Parker","SAS","PG",74,180,1,20,82,82,2774,1043,243,174,16.5,22.9,5.1,2.6,24,24,"814",335,56,51,11.9,23.8,0.0,1.1,105.6,99.7
"Tim Duncan","SAS","PF",83,248,5,26,81,81,3181,1392,22,231,26.9,28.0,9.5,6.9,24,24,"1021",412,7,78,28.4,26.4,3.3,2.7,105.6,99.7
"Manu Ginobili","SAS","SG",78,210,0,25,69,5,1431,397,148,170,14.7,18.5,1.8,2.4,24,0,"660",184,73,62,15.0,17.5,0.7,1.3,105.6,99.7
"Steve Smith","SAS","SG",79,200,11,33,53,18,1032,291,118,79,12.0,17.3,1.4,1.1,9,0,"66",24,12,3,3.5,19.2,-0.1,0.1,105.6,99.7
"Devin Brown","SAS","SG",77,220,0,24,7,0,22,10,0,3,13.8,33.5,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.6,99.7
"Malik Rose","SAS","PF",79,250,6,28,79,13,1933,630,5,206,16.1,22.4,1.9,3.3,24,0,"560",179,3,72,13.3,21.5,0.2,1.1,105.6,99.7
"Bruce Bowen","SAS","SF",79,185,6,31,82,82,2566,479,229,195,9.1,10.7,2.4,2.7,24,24,"750",145,80,52,8.9,10.9,0.5,1.1,105.6,99.7
"Mengke Bateer","SAS","C",83,290,1,27,12,0,46,17,3,14,-8.4,24.1,-0.3,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.6,99.7
"David Robinson","SAS","C",85,235,13,37,64,64,1676,420,0,126,17.8,16.5,2.5,3.6,23,23,"539",118,0,63,17.7,15.0,1.0,1.3,105.6,99.7
"Speedy Claxton","SAS","PG",71,166,1,24,30,0,471,145,11,43,15.9,20.2,0.6,0.6,24,0,"326",105,0,38,14.4,20.8,0.2,0.6,105.6,99.7
"Steve Kerr","SAS","PG",75,175,14,37,75,0,952,256,124,49,11.4,14.9,1.3,0.9,10,0,"46",11,6,6,22.7,13.7,0.3,0.1,105.6,99.7
"Stephen Jackson","SAS","SG",80,218,2,24,80,58,2254,818,297,202,14.5,22.1,1.2,3.6,24,24,"811",261,113,53,12.0,20.2,-0.1,1.4,105.6,99.7
"Derek Fisher","LAL","PG",73,200,6,28,82,82,2829,775,212,195,11.9,14.5,3.8,1.4,12,12,"424",102,47,39,14.1,13.6,0.9,0.3,107.2,104.7
"Brian Shaw","LAL","PG",78,190,13,36,72,0,900,261,109,62,10.2,15.9,-0.1,0.7,12,1,"215",49,26,18,6.8,12.3,-0.2,0.2,107.2,104.7
"Shaquille O'Neal","LAL","C",85,325,10,30,67,66,2535,1211,0,229,29.5,30.2,10.2,3.0,12,12,"481",226,0,34,30.6,29.6,1.8,0.6,107.2,104.7
"Robert Horry","LAL","PF",81,220,10,32,80,26,2343,476,177,247,12.4,12.2,2.3,2.5,12,10,"373",94,38,37,8.6,13.7,-0.4,0.4,107.2,104.7
"Samaki Walker","LAL","C",81,240,6,26,67,39,1243,274,1,143,11.6,13.4,0.6,1.4,9,0,"49",5,0,11,3.9,7.3,0.0,0.1,107.2,104.7
"Kobe Bryant","LAL","SG",78,200,6,24,82,82,3401,1924,324,218,26.2,32.9,11.0,4.0,12,12,"531",317,62,35,22.2,34.0,1.2,0.2,107.2,104.7
"Rick Fox","LAL","SF",79,230,11,33,76,75,2181,621,280,215,11.9,15.7,2.0,1.6,4,4,"79",18,10,15,8.9,13.4,0.1,0.0,107.2,104.7
"Tracy Murray","LAL","SF",79,225,10,31,31,0,193,71,38,22,5.2,20.4,-0.3,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.2,104.7
"Stanislav Medvedenko","LAL","PF",82,250,2,23,58,10,620,258,2,118,10.3,22.5,0.0,0.4,9,0,"73",27,0,14,15.2,19.9,0.1,0.1,107.2,104.7
"Soumaila Samake","LAL","C",84,230,1,24,13,1,77,24,0,13,12.9,15.5,0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",107.2,104.7
"Jannero Pargo","LAL","PG",73,175,0,23,34,0,342,93,24,45,7.3,15.3,-0.2,0.2,11,0,"129",24,15,22,6.4,11.3,0.0,0.1,107.2,104.7
"Kareem Rush","LAL","PG",78,215,0,22,76,0,872,244,68,71,5.8,16.1,-0.9,0.3,9,0,"64",29,11,2,11.0,23.5,0.0,0.0,107.2,104.7
"Mark Madsen","LAL","PF",81,240,2,27,54,22,781,163,0,116,9.3,12.3,0.7,0.4,12,2,"169",31,1,32,6.0,12.1,0.0,0.1,107.2,104.7
"Devean George","LAL","SF",80,220,3,25,71,7,1613,461,132,180,11.4,15.7,1.2,1.4,11,7,"318",78,30,29,11.9,13.2,0.3,0.2,107.2,104.7
"Todd MacCulloch","PHI","C",84,280,3,27,42,35,812,238,0,107,14.9,17.0,1.2,1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.0,102.5
"Kenny Satterfield","PHI","PG",74,186,1,21,17,0,82,18,0,6,2.6,14.2,-0.2,0.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.0,102.5
"Mark Bryant","PHI","PF",81,245,14,37,11,0,77,17,0,12,1.5,13.3,-0.1,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.0,102.5
"Aaron McKie","PHI","SF",77,209,8,30,80,40,2374,666,112,177,13.7,15.8,2.1,3.0,12,0,"315",71,9,31,12.7,14.0,0.4,0.3,105.0,102.5
"Allen Iverson","PHI","SG",72,165,6,27,82,82,3485,1940,303,149,21.2,32.9,5.0,4.2,12,12,"557",329,55,25,23.6,36.7,1.0,0.6,105.0,102.5
"Efthimi Rentzias","PHI","C",83,250,0,27,35,0,144,59,8,21,10.6,20.9,0.0,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.0,102.5
"Tyrone Hill","PHI","PF",81,240,12,34,24,18,496,109,0,68,9.3,12.7,0.2,0.5,10,0,"141",19,0,29,7.7,9.1,0.2,0.1,105.0,102.5
"Derrick Coleman","PHI","C",82,230,12,35,64,35,1742,498,67,171,15.4,17.3,2.1,2.4,12,12,"449",118,10,36,18.0,16.6,1.1,0.5,105.0,102.5
"Monty Williams","PHI","SF",80,225,8,31,21,2,276,80,2,33,12.5,18.1,0.1,0.3,10,0,"96",23,1,12,3.6,14.3,-0.1,0.1,105.0,102.5
"Kenny Thomas","PHI","PF",79,261,3,25,46,28,1392,369,0,120,15.8,16.5,2.1,1.8,12,12,"389",101,0,42,15.7,16.3,0.6,0.5,105.0,102.5
"Art Long","PHI","SF",81,250,2,30,19,0,131,50,1,22,7.7,21.0,-0.3,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.0,102.5
"Brian Skinner","PHI","PF",81,255,4,26,77,9,1381,331,0,176,15.4,15.1,2.2,2.0,8,0,"38",6,1,6,2.0,12.3,0.0,0.0,105.0,102.5
"Keith Van Horn","PHI","PF",82,220,5,27,74,73,2337,952,176,251,17.3,23.2,3.9,2.6,12,12,"402",110,32,41,10.2,17.7,0.0,0.5,105.0,102.5
"John Salmons","PHI","PG",79,210,0,23,64,1,504,116,31,53,9.5,14.3,0.2,0.4,6,0,"16",1,1,0,-9.7,11.6,-0.1,0.0,105.0,102.5
"Eric Snow","PHI","PG",75,190,7,29,82,82,3108,799,32,235,15.6,16.8,5.7,2.7,12,12,"415",102,10,47,14.6,18.1,0.6,0.4,105.0,102.5
"Greg Buckner","PHI","SG",76,210,3,26,75,5,1514,398,55,203,11.6,14.7,1.5,1.7,10,0,"112",31,9,18,4.3,15.2,-0.1,0.1,105.0,102.5
"Pat Burke","ORL","C",83,250,0,29,62,8,783,296,7,99,8.3,21.1,-1.0,0.6,6,0,"43",10,0,9,12.5,18.6,0.0,0.1,105.2,105.0
"Andrew DeClercq","ORL","C",82,230,7,29,77,21,1327,279,0,258,11.3,13.8,1.3,1.3,7,6,"104",20,0,25,9.3,14.4,0.0,0.1,105.2,105.0
"Tracy McGrady","ORL","SG",80,210,5,23,75,74,2954,1813,448,156,30.3,35.2,13.2,2.9,7,7,"308",165,47,16,27.0,34.9,0.8,0.3,105.2,105.0
"Mike Miller","ORL","SF",80,218,2,22,49,39,1826,708,256,139,13.9,21.4,1.8,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105.2,105.0
"Gordan Giricek","ORL","SF",78,210,0,25,27,27,961,325,119,55,13.6,19.1,1.0,0.7,7,7,"223",56,15,27,6.9,15.9,0.0,0.1,105.2,105.0
