"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Kenny Thomas","PF",79,261,5,27,26,15,"823",305,1,76,0,0,0,0,27,5,5,"153",45,0,22,0,0,0,0,"110.5","108.2"
"Maurice Evans","SG",77,220,1,26,65,11,"1233",373,82,104,0,0,0,0,26,3,0,"56",10,4,6,0,0,0,0,"110.5","108.2"
"Peja Stojakovic","SF",81,220,6,27,66,66,"2534",1016,433,157,0,0,0,0,27,5,5,"203",83,30,15,0,0,0,0,"110.5","108.2"
"Michael Bradley","PF",82,245,3,25,8,0,"48",12,0,8,0,0,0,0,"110.5","108.2"
"Eddie House","PG",73,180,4,26,50,2,"550",214,62,39,0,0,0,0,26,3,0,"23",8,1,2,0,0,0,0,"110.5","108.2"
"Bobby Jackson","SG",73,185,7,31,25,0,"536",255,96,58,0,0,0,0,31,5,0,"79",37,18,5,0,0,0,0,"110.5","108.2"
"Greg Ostertag","C",86,280,9,31,56,3,"556",84,2,88,0,0,0,0,31,2,0,"26",3,0,4,0,0,0,0,"110.5","108.2"
"Matt Barnes","SF",79,235,1,24,43,9,"715",151,22,80,0,0,0,0,"110.5","108.2"
"Darius Songaila","PF",81,248,1,26,81,21,"1668",488,3,206,0,0,0,0,26,5,0,"75",19,0,14,0,0,0,0,"110.5","108.2"
"Chris Webber","PF",81,245,11,31,46,46,"1668",917,29,144,0,0,0,0,"110.5","108.2"
"Doug Christie","SG",78,200,12,34,31,31,"996",204,39,61,0,0,0,0,"110.5","108.2"
"Erik Daniels","SF",80,214,0,22,21,0,"72",18,2,7,0,0,0,0,"110.5","108.2"
"Mike Bibby","PG",73,190,6,26,80,80,"3084",1264,364,191,0,0,0,0,26,5,5,"200",92,23,11,0,0,0,0,"110.5","108.2"
"Cuttino Mobley","SG",76,190,6,29,43,43,"1662",636,217,103,0,0,0,0,29,5,5,"159",70,25,13,0,0,0,0,"110.5","108.2"
"Corliss Williamson","PF",79,245,9,31,24,4,"471",167,0,74,0,0,0,0,31,5,0,"40",16,1,11,0,0,0,0,"110.5","108.2"
"Brad Miller","C",83,244,6,28,56,56,"2089",609,19,181,0,0,0,0,28,5,4,"139",40,2,21,0,0,0,0,"110.5","108.2"
"Kevin Martin","PG",79,185,0,21,45,0,"455",117,25,35,0,0,0,0,"110.5","108.2"
"Brian Skinner","C",81,255,6,28,25,23,"695",148,0,73,0,0,0,0,28,4,1,"47",8,0,5,0,0,0,0,"110.5","108.2"
