"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"J.J. Hickson","C",81,242,0,20,62,0,"705",194,0,81,0,0,0,0,"112.4","102.4"
"Mo Williams","PG",73,185,5,26,81,81,"2834",1126,420,215,0,0,0,0,26,14,14,"541",196,94,43,0,0,0,0,"112.4","102.4"
"Tarence Kinsey","SG",78,185,2,24,50,3,"277",69,18,34,0,0,0,0,24,9,0,"11",3,0,2,0,0,0,0,"112.4","102.4"
"Darnell Jackson","PF",81,253,0,23,51,2,"430",86,2,77,0,0,0,0,23,5,0,"25",5,0,5,0,0,0,0,"112.4","102.4"
"Lorenzen Wright","C",83,225,12,33,17,2,"125",27,0,17,0,0,0,0,"112.4","102.4"
"Jawad Williams","SF",81,218,0,25,10,0,"20",12,6,2,0,0,0,0,"112.4","102.4"
"Anderson Varejao","PF",82,230,4,26,81,42,"2306",504,2,239,0,0,0,0,26,14,14,"420",82,0,49,0,0,0,0,"112.4","102.4"
"Wally Szczerbiak","SF",79,244,9,31,74,5,"1527",398,168,130,0,0,0,0,31,12,0,"154",36,12,19,0,0,0,0,"112.4","102.4"
"Delonte West","SG",76,180,4,25,64,64,"2152",624,228,125,0,0,0,0,25,14,14,"591",157,36,28,0,0,0,0,"112.4","102.4"
"Sasha Pavlovic","SF",80,220,5,25,66,12,"1053",275,117,122,0,0,0,0,25,11,0,"91",20,8,9,0,0,0,0,"112.4","102.4"
"Zydrunas Ilgauskas","C",87,238,10,33,65,65,"1765",724,39,183,0,0,0,0,33,14,14,"407",138,13,47,0,0,0,0,"112.4","102.4"
"Trey Johnson","SG",77,218,0,24,4,0,"14",5,0,4,0,0,0,0,"112.4","102.4"
"Joe Smith","C",82,225,13,33,21,0,"411",115,3,50,0,0,0,0,33,13,0,"218",50,5,25,0,0,0,0,"112.4","102.4"
"Daniel Gibson","PG",74,190,2,22,75,0,"1795",527,283,163,0,0,0,0,22,14,0,"172",40,28,18,0,0,0,0,"112.4","102.4"
"LeBron James","SF",80,240,5,24,81,81,"3054",1613,384,139,0,0,0,0,24,14,14,"580",312,81,30,0,0,0,0,"112.4","102.4"
"Ben Wallace","PF",81,240,12,34,56,53,"1314",155,0,82,0,0,0,0,34,14,0,"176",13,0,13,0,0,0,0,"112.4","102.4"
"J.R. Giddens","SF",77,215,0,23,6,0,"8",3,0,1,0,0,0,0,"110.5","102.3"
