"Date","Team","Player","Notes"
18991230,"Kings","Otis Thorpe","left knee tendinitis (DNP)"
19470805,"Bombers (BAA)","Jack Underman","fractured legs (in auto accident) (out indefinitely) (date approximate)"
19480215,"Bullets (BAA)","Buddy Jeannette","broken rib (DTD) (date approximate)"
19491223,"Knicks","Vince Boryla","mumps (out ~2 weeks)"
19500113,"Knicks","Vince Boryla","returned to lineup (date approximate)"
19501205,"Celtics","Andy Duncan (a)","broken kneecap (out indefinitely)"
19550102,"Warriors","Paul Arizin","ankle injury (DTD)"
19570325,"Hawks","Bob Pettit","fractured wrist (date approximate)"
19580315,"Royals","Maurice Stokes","hospitalized with encephalopathy / ""brain fever"" and paralysis"
19600105,"Celtics","Bill Sharman","sprained Achilles tendon (date approximate)"
19600105,"Celtics","Jim Loscutoff","sore back and legs (out indefinitely) (date approximate)"
19600405,"Hawks","Larry Foust","fractured hand (DTD)"
19630203,"Lakers","Jerry West","torn hamstring (out indefinitely)"
19640126,"Lakers","Jerry West","fractured thumb (out indefinitely)"
19640701,"Warriors","Al Attles","surgery on righ thigh to remove calcium deposits and blood clots (date approximate)"
19640701,"Warriors","Gary Phillips","surgery on ankle (date approximate)"
19640917,"Warriors","McCoy McLemore","broken nose (DTD)"
19640917,"Warriors","Tom Meschery","fractured finger (date approximate)"
19641001,"Hawks","Bob Pettit","knee injury (date approximate)"
19641215,"Hawks","Bob Pettit","returned to lineup (date approximate)"
19650114,"Lakers","Jerry West","fractured nose (DTD)"
19650401,"Lakers","Elgin Baylor","injured kneecap (date approximate)"
19650402,"Lakers","Elgin Baylor","surgery on injured kneecap (date approximate)"
19660111,"Lakers","Jerry West","corneal abrasion (DTD)"
19660303,"Knicks","Dick Barnett","shoulder injury (DTD)"
19661011,"Lakers","Jerry West","heel injury"
19670307,"Lakers","Jerry West","fractured nose (DTD)"
19670317,"Lakers","Jerry West","sprained ankle (DTD)"
19670321,"Lakers","Jerry West","pulled hamstring (DTD)"
19670326,"Lakers","Jerry West","fractured hand (out indefinitely)"
19671003,"Lakers","Jerry West","fractured hand (out indefinitely)"
19671115,"Hawks","Jay Miller","appendectomy (out indefinitely)"
19671210,"76ers","Larry Costello","foot injury (date approximate)"
19680101,"Lakers","Jerry West","pulled groin (date approximate)"
19680125,"Lakers","Jerry West","fractured nose (DTD)"
19680223,"Lakers","Jerry West","pulled groin (DTD)"
19680428,"Lakers","Jerry West","sprained ankle (DTD)"
19681023,"Lakers","Jerry West","pulled groin (DTD)"
19681227,"Bucks","Dick Cunningham","sprained ankle (DTD)"
19690104,"Lakers","Jerry West","pulled groin (DTD)"
19690130,"Lakers","Jerry West","pulled hamstring (DTD)"
19690501,"Lakers","Jerry West","pulled hamstring (DTD)"
19691024,"Caps (ABA)","Rick Barry","surgery on knee (out indefinitely)"
19691101,"Lakers","Jerry West","pulled groin (DTD) (date approximate)"
19691126,"Lakers","Jerry West","sprained ankle (DTD)"
19691201,"Buccaneers (ABA)","Jimmy Jones / Jimmie Jones","knee injury (out)"
19691209,"Lakers","Jerry West","pulled groin (DTD)"
19691219,"Bulls","Jerry Sloan","groin injury (DTD)"
19700104,"Bulls","Chet Walker","pulled groin (DTD)"
19700116,"Warriors","Nate Thurmond","right knee injury (out for season)"
19700201,"Lakers","Jerry West","pulled groin (DTD) (date approximate)"
19700819,"Lakers","Earnie Killum","foot injury (out indefinitely)"
19701001,"Lakers","Elgin Baylor","torn Achilles tendon (out for season) (date approximate)"
19710106,"Lakers","Jerry West","fractured nose (DTD)"
19710118,"Celtics","John Havlicek","charley horse (DTD)"
19710302,"Lakers","Jerry West","torn MCL in knee (out indefinitely)"
19710914,"Squires (ABA)","Mike Barrett","agreed to surgery on injured wrist (out for season)"
19711020,"Lakers","Jerry West","sprained ankle (DTD)"
19711129,"Cavaliers","Austin Carr","sprained ankle (out indefinitely) (date approximate)"
19711226,"Condors (ABA)","John Brisker","Achilles tendon injury"
19720124,"Royals","Gilbert McGregor / Gil McGregor","broken foot (out indefinitely)"
19720125,"Condors (ABA)","John Brisker","returned to lineup"
19720129,"Cavaliers","Austin Carr","returned to lineup"
19721103,"Cavaliers","Rick Roberson","pulled hamstring (out indefinitely)"
19730106,"Chaparrals (ABA)","Harley Swift / Skeeter Swift","surgery on knee (out indefinitely)"
19730209,"Lakers","Jerry West","pulled hamstring (DTD)"
19730318,"Bulls","Clifford Ray","sprained LCL in left knee (DTD)"
19730506,"Lakers","Jerry West","pulled hamstring (DTD)"
19730821,"76ers","Doug Collins","fractured left foot (out indefinitely)"
19731101,"Lakers","Jerry West","pulled groin (date approximate)"
19731106,"Lakers","Elmore Smith","fractured cheekbone (out indefinitely)"
19740109,"Lakers","Jerry West","pulled groin (DTD)"
19740120,"Blazers","John Johnson (a)","fractured elbow (out indefinitely)"
19740123,"Nets (ABA)","Billy Paultz","sprained ankle (DTD)"
19740205,"Lakers","Jerry West","pulled groin (DTD)"
19740315,"Bucks","Lucius Allen","torn cartilage in knee (out for season)"
19741005,"Bucks","Kareem Abdul-Jabbar / Lew Alcindor","fractured right hand (out indefinitely)"
19741007,"Hawks","Herm Gilliam","surgery on knee to repair torn cartilage (out indefinitely)"
19741101,"Hawks","Lou Hudson","elbow injury (date approximate)"
19741121,"76ers","Billy Cunningham","sore left knee (DTD)"
19741205,"Cavaliers","Austin Carr","knee injury (surgery) (out indefinitely)"
19750127,"Bulls","John Block","hospitalized withi back and lung ailments"
19751101,"Squires (ABA)","Mack Calvin","partially torn tendon in knee (out at least 1 month) (date approximate)"
19751101,"Squires (ABA)","Mike Green","cartilage problem in knee (out at least 1 month) (date approximate)"
19751205,"76ers","Billy Cunningham","partially torn ligament (ACL?) in left knee (out for season)"
19760501,"Spurs (ABA)","James Silas","broken ankle (date approximate)"
19760502,"Spurs (ABA)","James Silas","surgery to repair broken ankle (date approximate)"
19760820,"Bucks","Dave Meyers","fractured left knee (out indefinitely)"
19760824,"Cavaliers","Jim Chones","fractured right little toe (DTD)"
19760830,"Bucks","Dave Meyers","surgery on left knee to repair fracture (date approximate)"
19761015,"Spurs","James Silas","injured right knee (date approximate)"
19761115,"Spurs","James Silas","surgery on right knee to remove torn cartilage"
19771123,"Pistons","Bob Lanier","returned to lineup"
19771209,"Rockets","Rudy Tomjanovich","fractured facial bones (out indefinitely)"
19780131,"Jazz","Pete Maravich","right knee injury (out indefinitely)"
19780505,"Sonics","Dennis Johnson","dislocated middle finger on right hand (DTD)"
19781001,"Bucks","Dave Meyers","back injury (out for season) (date approximate)"
19790220,"Jazz","Pete Maravich","rehab of right knee injury (out for season)"
19790516,"Cavaliers","John Lambert","sprained left ankle (DTD)"
19790911,"Nuggets","Matt Teahan","fractured bone in left foot (out indefinitely)"
19791124,"Cavaliers","John Lambert","sprained right ankle (DTD)"
19800101,"Cavaliers","Michael Russell / Campy Russell","knee injury (date approximate)"
19800310,"Bullets","Bob Dandridge","bruised calf muscle (DTD) (date approximate)"
19800312,"76ers","Doug Collins","torn ACL and cartilage in left knee (out for season)"
19800317,"76ers","Doug Collins","surgery to repair torn ACL in left knee (out for season)"
19800923,"Knicks","Toby Knight","torn ACL in left knee (out indefinitely)"
19810914,"76ers","Doug Collins","torn ACL in right knee (out indefinitely)"
19810921,"76ers","Doug Collins","surgery to remove torn cartilage in right knee (out indefinitely)"
19811007,"Hawks","Eddie Johnson (a)","admitted to psychiatric unit of hospital for treatment of depression"
19811007,"Kings","John Lambert","groin injury (DTD)"
19811008,"Knicks","Bill Cartwright","sprained MCL (out 4-6 weeks)"
19811115,"Bucks","Junior Bridgeman","strained knee (DTD) (date approximate)"
19811128,"Bucks","Junior Bridgeman","returned to lineup"
19811209,"Mavericks","Mark Aguirre","stress fracture in foot (out indefinitely)"
19811218,"Bullets","Brad Holland","flu (DTD)"
19811219,"Lakers","Mitch Kupchak","torn ACL in knee (out indefinitely)"
19820115,"Bulls","Ricky Sobers","sprained right ankle (DNP)"
19820115,"Bulls","Ronnie Lester","sore left toe (DNP)"
19820203,"Nets","Ray Williams","sprained right ankle (DTD)"
19820813,"Knicks","Michael Russell / Campy Russell","torn ACL in right knee (out indefinitely)"
19820914,"Kings","Kenny Dennard","surgery to remove malignant tumor from stomach (date approximate)"
19821016,"Lakers","Kurt Rambis","sprained right arch (out indefinitely)"
19821102,"Mavericks","Corny Thompson","surgery on right elbow to remove bone chips"
19821130,"Sonics","David Thompson (a)","fluid on knee (out ~1 week)"
19821205,"Bucks","Steve Mix","sprained right ankle (DTD)"
19821207,"Jazz","Darrell Griffith","sprained ankle (DTD)"
19821209,"Bulls","Quintin Dailey","team granted player's request for temporary leave of absence to seek psychiatric help"
19821215,"Bucks","Bob Lanier","arthroscopic surgery on right knee to remove fragments (out 4-5 weeks)"
19821215,"Celtics","Robert Parish","sore left ankle (DTD)"
19821217,"Jazz","Adrian Dantley","torn ligaments in right wrist (out for season)"
19821220,"76ers","Andrew Toney","shoulder inury (DTD)"
19821220,"Bulls","Quintin Dailey","player returned to team after temporary leave of absence to seek psychiatric help"
19821227,"Bucks","Harvey Catchings","sprained left wrist (DTD)"
19821229,"Pistons","Cliff Levingston","broken left hand (out indefinitely)"
19830101,"Knicks","Sylvester Williams / Sly Williams","arthroscopic surgery on left knee to evaluate bruised cartilage"
19830103,"Nets","Albert King","sprained right knee (DTD)"
19830106,"Jazz","Adrian Dantley","surgery on right wrist to repair torn ligaments (out for season) (date approximate)"
19830110,"76ers","Julius Erving","bruised right hand, knee injury, sore back (DTD)"
19830110,"Warriors","Micheal Ray Richardson","sprained ankle (DTD)"
19830110,"Warriors","Sam Williams","sprained ankle (DTD)"
19830115,"Hawks","George Johnson (Thomas)","surgery on knee (out 6-8 weeks)"
19830207,"Pistons","Kent Benson","sprained left ankle (DTD)"
19830214,"Clippers","Jerome Whitehead","arthroscopic surgery on right knee (out for season)"
19830219,"Lakers","Bob McAdoo","sprained right foot (DTD)"
19830223,"Nets","Otis Birdsong","stress fracture in pelvis (out indefinitely)"
19830226,"76ers","Julius Erving","scratched cornea in right eye (left game)"
19830301,"Bulls","Orlando Woolridge","torn ligament in right knee (out for season)"
19830301,"Bulls","Ronnie Lester","fractured right kneecap (out for season)"
19830301,"Clippers","Bill Walton","lack of fluid in right ankle (DNP)"
19830301,"Warriors","Larry Smith","nerve inflammation in right forearm (out for season)"
19830308,"Lakers","Bob McAdoo","surgery on right toe (out 2-3 weeks) (date approximate)"
19830314,"76ers","Julius Erving","sprained wrist (DTD)"
19830314,"Pistons","Kent Benson","arthroscopic surgery on left ankle (out for season)"
19830401,"Jazz","Ben Poquette","fractured finger on left hand (out for season)"
19830404,"Suns","Dennis Johnson","sprained ankle (out 1-2 games)"
19830405,"Clippers","Terry Cummings","heart condition (pulse reached 300 BPM during game)"
19830410,"76ers","Moses Malone","right knee inflammation (DTD) (date approximate)"
19830421,"76ers","Moses Malone","left knee inflammation (DTD)"
19830513,"Knicks","Ed Sherod","surgery on right knee to remove cartilage"
19830602,"Bucks","Dave Cowens","surgery on right knee to repair torn tendon"
19830706,"Bucks","Bob Lanier","arthroscopic surgery on left knee to remove fragments (date 07-21 per some sources)"
19830811,"Cavaliers","John Bagley","surgery on knee to remove torn cartilage (out 3-4 weeks)"
19830831,"Rockets","Ralph Sampson","swollen/strained left foot (DTD)"
19831003,"Lakers","Kareem Abdul-Jabbar / Lew Alcindor","viral hepatisis (DTD)"
19831010,"Lakers","Kareem Abdul-Jabbar / Lew Alcindor","returned to lineup"
